prompt,answer
What is 55 + 59? Answer:,114
What is 46 + 28? Answer:,74
What is 65 + 33? Answer:,98
What is 80 + 45? Answer:,125
What is 43 + 48? Answer:,91
What is 13 + 10? Answer:,23
What is 44 + 83? Answer:,127
What is 52 + 62? Answer:,114
What is 42 + 78? Answer:,120
What is 51 + 13? Answer:,64
What is 17 + 48? Answer:,65
What is 90 + 26? Answer:,116
What is 99 + 95? Answer:,194
What is 12 + 21? Answer:,33
What is 67 + 19? Answer:,86
What is 81 + 87? Answer:,168
What is 32 + 24? Answer:,56
What is 47 + 95? Answer:,142
What is 16 + 65? Answer:,81
What is 49 + 88? Answer:,137
What is 66 + 39? Answer:,105
What is 76 + 47? Answer:,123
What is 77 + 99? Answer:,176
What is 58 + 19? Answer:,77
What is 46 + 79? Answer:,125
What is 44 + 86? Answer:,130
What is 64 + 96? Answer:,160
What is 69 + 46? Answer:,115
What is 54 + 78? Answer:,132
What is 47 + 53? Answer:,100
What is 78 + 62? Answer:,140
What is 54 + 97? Answer:,151
What is 84 + 42? Answer:,126
What is 18 + 78? Answer:,96
What is 25 + 15? Answer:,40
What is 53 + 55? Answer:,108
What is 94 + 26? Answer:,120
What is 25 + 67? Answer:,92
What is 40 + 31? Answer:,71
What is 63 + 32? Answer:,95
What is 75 + 23? Answer:,98
What is 36 + 10? Answer:,46
What is 86 + 96? Answer:,182
What is 88 + 37? Answer:,125
What is 71 + 48? Answer:,119
What is 30 + 53? Answer:,83
What is 21 + 56? Answer:,77
What is 56 + 53? Answer:,109
What is 56 + 22? Answer:,78
What is 23 + 52? Answer:,75
What is 57 + 96? Answer:,153
What is 54 + 24? Answer:,78
What is 33 + 21? Answer:,54
What is 85 + 81? Answer:,166
What is 67 + 96? Answer:,163
What is 89 + 46? Answer:,135
What is 46 + 46? Answer:,92
What is 87 + 85? Answer:,172
What is 28 + 57? Answer:,85
What is 21 + 71? Answer:,92
What is 53 + 86? Answer:,139
What is 76 + 75? Answer:,151
What is 37 + 66? Answer:,103
What is 95 + 54? Answer:,149
What is 14 + 98? Answer:,112
What is 43 + 35? Answer:,78
What is 69 + 13? Answer:,82
What is 38 + 17? Answer:,55
What is 27 + 25? Answer:,52
What is 26 + 29? Answer:,55
What is 89 + 91? Answer:,180
What is 87 + 85? Answer:,172
What is 48 + 93? Answer:,141
What is 80 + 10? Answer:,90
What is 96 + 32? Answer:,128
What is 76 + 34? Answer:,110
What is 76 + 55? Answer:,131
What is 11 + 72? Answer:,83
What is 99 + 37? Answer:,136
What is 60 + 29? Answer:,89
What is 94 + 51? Answer:,145
What is 98 + 14? Answer:,112
What is 69 + 92? Answer:,161
What is 63 + 10? Answer:,73
What is 41 + 86? Answer:,127
What is 70 + 15? Answer:,85
What is 25 + 29? Answer:,54
What is 84 + 63? Answer:,147
What is 58 + 92? Answer:,150
What is 13 + 82? Answer:,95
What is 17 + 53? Answer:,70
What is 27 + 40? Answer:,67
What is 79 + 35? Answer:,114
What is 89 + 79? Answer:,168
What is 82 + 78? Answer:,160
What is 84 + 96? Answer:,180
What is 79 + 89? Answer:,168
What is 94 + 67? Answer:,161
What is 68 + 78? Answer:,146
What is 15 + 23? Answer:,38
What is 76 + 72? Answer:,148
What is 24 + 21? Answer:,45
What is 14 + 51? Answer:,65
What is 41 + 45? Answer:,86
What is 24 + 53? Answer:,77
What is 40 + 83? Answer:,123
What is 39 + 16? Answer:,55
What is 26 + 72? Answer:,98
What is 39 + 98? Answer:,137
What is 44 + 80? Answer:,124
What is 92 + 15? Answer:,107
What is 62 + 74? Answer:,136
What is 52 + 31? Answer:,83
What is 80 + 72? Answer:,152
What is 13 + 18? Answer:,31
What is 93 + 38? Answer:,131
What is 79 + 15? Answer:,94
What is 36 + 40? Answer:,76
What is 98 + 21? Answer:,119
What is 43 + 64? Answer:,107
What is 63 + 62? Answer:,125
What is 11 + 63? Answer:,74
What is 56 + 70? Answer:,126
What is 89 + 13? Answer:,102
What is 62 + 43? Answer:,105
What is 21 + 11? Answer:,32
What is 76 + 13? Answer:,89
What is 23 + 95? Answer:,118
What is 94 + 57? Answer:,151
What is 85 + 55? Answer:,140
What is 92 + 51? Answer:,143
What is 41 + 30? Answer:,71
What is 87 + 63? Answer:,150
What is 36 + 17? Answer:,53
What is 97 + 72? Answer:,169
What is 90 + 41? Answer:,131
What is 40 + 50? Answer:,90
What is 40 + 58? Answer:,98
What is 25 + 97? Answer:,122
What is 85 + 89? Answer:,174
What is 56 + 31? Answer:,87
What is 28 + 62? Answer:,90
What is 12 + 93? Answer:,105
What is 47 + 50? Answer:,97
What is 22 + 61? Answer:,83
What is 42 + 68? Answer:,110
What is 55 + 80? Answer:,135
What is 73 + 67? Answer:,140
What is 87 + 67? Answer:,154
What is 38 + 81? Answer:,119
What is 64 + 29? Answer:,93
What is 10 + 21? Answer:,31
What is 81 + 94? Answer:,175
What is 79 + 82? Answer:,161
What is 47 + 88? Answer:,135
What is 83 + 83? Answer:,166
What is 62 + 30? Answer:,92
What is 12 + 44? Answer:,56
What is 45 + 53? Answer:,98
What is 93 + 80? Answer:,173
What is 90 + 55? Answer:,145
What is 90 + 26? Answer:,116
What is 34 + 16? Answer:,50
What is 97 + 86? Answer:,183
What is 56 + 72? Answer:,128
What is 87 + 97? Answer:,184
What is 66 + 16? Answer:,82
What is 21 + 89? Answer:,110
What is 85 + 55? Answer:,140
What is 66 + 83? Answer:,149
What is 24 + 16? Answer:,40
What is 88 + 82? Answer:,170
What is 89 + 63? Answer:,152
What is 10 + 85? Answer:,95
What is 49 + 36? Answer:,85
What is 66 + 87? Answer:,153
What is 53 + 69? Answer:,122
What is 83 + 81? Answer:,164
What is 15 + 42? Answer:,57
What is 14 + 45? Answer:,59
What is 70 + 21? Answer:,91
What is 50 + 45? Answer:,95
What is 28 + 32? Answer:,60
What is 59 + 32? Answer:,91
What is 84 + 74? Answer:,158
What is 22 + 31? Answer:,53
What is 54 + 91? Answer:,145
What is 40 + 44? Answer:,84
What is 93 + 43? Answer:,136
What is 33 + 97? Answer:,130
What is 37 + 63? Answer:,100
What is 81 + 32? Answer:,113
What is 91 + 69? Answer:,160
What is 63 + 22? Answer:,85
What is 48 + 66? Answer:,114
What is 93 + 76? Answer:,169
What is 61 + 82? Answer:,143
What is 40 + 59? Answer:,99
What is 91 + 71? Answer:,162
What is 10 + 85? Answer:,95
What is 87 + 22? Answer:,109
What is 54 + 89? Answer:,143
What is 64 + 86? Answer:,150
What is 55 + 83? Answer:,138
What is 13 + 22? Answer:,35
What is 60 + 60? Answer:,120
What is 35 + 38? Answer:,73
What is 29 + 66? Answer:,95
What is 20 + 47? Answer:,67
What is 20 + 83? Answer:,103
What is 44 + 87? Answer:,131
What is 69 + 38? Answer:,107
What is 67 + 70? Answer:,137
What is 33 + 12? Answer:,45
What is 47 + 39? Answer:,86
What is 60 + 92? Answer:,152
What is 25 + 41? Answer:,66
What is 57 + 43? Answer:,100
What is 46 + 49? Answer:,95
What is 19 + 59? Answer:,78
What is 28 + 77? Answer:,105
What is 56 + 85? Answer:,141
What is 41 + 50? Answer:,91
What is 81 + 18? Answer:,99
What is 97 + 95? Answer:,192
What is 49 + 29? Answer:,78
What is 54 + 83? Answer:,137
What is 67 + 70? Answer:,137
What is 24 + 35? Answer:,59
What is 31 + 88? Answer:,119
What is 65 + 31? Answer:,96
What is 75 + 21? Answer:,96
What is 28 + 27? Answer:,55
What is 25 + 26? Answer:,51
What is 62 + 28? Answer:,90
What is 20 + 32? Answer:,52
What is 18 + 83? Answer:,101
What is 29 + 99? Answer:,128
What is 25 + 66? Answer:,91
What is 72 + 47? Answer:,119
What is 43 + 23? Answer:,66
What is 84 + 11? Answer:,95
What is 55 + 23? Answer:,78
What is 85 + 54? Answer:,139
What is 95 + 45? Answer:,140
What is 31 + 15? Answer:,46
What is 20 + 66? Answer:,86
What is 35 + 50? Answer:,85
What is 22 + 62? Answer:,84
What is 95 + 48? Answer:,143
What is 72 + 21? Answer:,93
What is 66 + 93? Answer:,159
What is 95 + 64? Answer:,159
What is 24 + 67? Answer:,91
What is 89 + 66? Answer:,155
What is 88 + 87? Answer:,175
What is 47 + 99? Answer:,146
What is 23 + 74? Answer:,97
What is 41 + 25? Answer:,66
What is 23 + 21? Answer:,44
What is 40 + 15? Answer:,55
What is 71 + 75? Answer:,146
What is 80 + 20? Answer:,100
What is 86 + 96? Answer:,182
What is 11 + 72? Answer:,83
What is 41 + 66? Answer:,107
What is 21 + 86? Answer:,107
What is 85 + 85? Answer:,170
What is 65 + 56? Answer:,121
What is 77 + 39? Answer:,116
What is 20 + 28? Answer:,48
What is 76 + 67? Answer:,143
What is 67 + 58? Answer:,125
What is 71 + 25? Answer:,96
What is 64 + 19? Answer:,83
What is 49 + 36? Answer:,85
What is 15 + 41? Answer:,56
What is 29 + 78? Answer:,107
What is 20 + 83? Answer:,103
What is 71 + 65? Answer:,136
What is 41 + 55? Answer:,96
What is 19 + 11? Answer:,30
What is 34 + 86? Answer:,120
What is 40 + 71? Answer:,111
What is 58 + 22? Answer:,80
What is 24 + 50? Answer:,74
What is 71 + 90? Answer:,161
What is 40 + 31? Answer:,71
What is 65 + 30? Answer:,95
What is 39 + 54? Answer:,93
What is 64 + 29? Answer:,93
What is 44 + 81? Answer:,125
What is 65 + 21? Answer:,86
What is 31 + 40? Answer:,71
What is 99 + 35? Answer:,134
What is 32 + 44? Answer:,76
What is 89 + 63? Answer:,152
What is 44 + 85? Answer:,129
What is 87 + 36? Answer:,123
What is 41 + 20? Answer:,61
What is 88 + 28? Answer:,116
What is 79 + 50? Answer:,129
What is 79 + 84? Answer:,163
What is 47 + 11? Answer:,58
What is 23 + 64? Answer:,87
What is 10 + 80? Answer:,90
What is 70 + 99? Answer:,169
What is 67 + 59? Answer:,126
What is 27 + 14? Answer:,41
What is 46 + 78? Answer:,124
What is 66 + 15? Answer:,81
What is 53 + 29? Answer:,82
What is 30 + 98? Answer:,128
What is 32 + 14? Answer:,46
What is 14 + 64? Answer:,78
What is 20 + 46? Answer:,66
What is 52 + 90? Answer:,142
What is 61 + 58? Answer:,119
What is 33 + 81? Answer:,114
What is 15 + 24? Answer:,39
What is 91 + 97? Answer:,188
What is 81 + 92? Answer:,173
What is 11 + 27? Answer:,38
What is 42 + 87? Answer:,129
What is 48 + 69? Answer:,117
What is 84 + 11? Answer:,95
What is 58 + 98? Answer:,156
What is 42 + 39? Answer:,81
What is 90 + 52? Answer:,142
What is 32 + 34? Answer:,66
What is 29 + 79? Answer:,108
What is 44 + 85? Answer:,129
What is 42 + 27? Answer:,69
What is 51 + 52? Answer:,103
What is 22 + 61? Answer:,83
What is 29 + 54? Answer:,83
What is 94 + 70? Answer:,164
What is 96 + 83? Answer:,179
What is 59 + 40? Answer:,99
What is 93 + 82? Answer:,175
What is 46 + 28? Answer:,74
What is 99 + 62? Answer:,161
What is 44 + 47? Answer:,91
What is 99 + 59? Answer:,158
What is 33 + 66? Answer:,99
What is 56 + 52? Answer:,108
What is 90 + 30? Answer:,120
What is 43 + 80? Answer:,123
What is 43 + 63? Answer:,106
What is 84 + 52? Answer:,136
What is 72 + 39? Answer:,111
What is 53 + 52? Answer:,105
What is 12 + 19? Answer:,31
What is 88 + 93? Answer:,181
What is 23 + 41? Answer:,64
What is 83 + 79? Answer:,162
What is 96 + 55? Answer:,151
What is 56 + 66? Answer:,122
What is 31 + 51? Answer:,82
What is 72 + 74? Answer:,146
What is 36 + 87? Answer:,123
What is 93 + 45? Answer:,138
What is 35 + 31? Answer:,66
What is 38 + 43? Answer:,81
What is 83 + 97? Answer:,180
What is 93 + 36? Answer:,129
What is 98 + 29? Answer:,127
What is 80 + 88? Answer:,168
What is 23 + 17? Answer:,40
What is 83 + 97? Answer:,180
What is 64 + 95? Answer:,159
What is 99 + 98? Answer:,197
What is 24 + 44? Answer:,68
What is 82 + 41? Answer:,123
What is 31 + 42? Answer:,73
What is 55 + 44? Answer:,99
What is 34 + 19? Answer:,53
What is 75 + 45? Answer:,120
What is 57 + 53? Answer:,110
What is 30 + 94? Answer:,124
What is 79 + 78? Answer:,157
What is 84 + 95? Answer:,179
What is 61 + 19? Answer:,80
What is 17 + 80? Answer:,97
What is 38 + 40? Answer:,78
What is 83 + 77? Answer:,160
What is 67 + 34? Answer:,101
What is 98 + 90? Answer:,188
What is 73 + 36? Answer:,109
What is 17 + 23? Answer:,40
What is 78 + 87? Answer:,165
What is 58 + 77? Answer:,135
What is 56 + 19? Answer:,75
What is 79 + 26? Answer:,105
What is 89 + 12? Answer:,101
What is 96 + 44? Answer:,140
What is 35 + 22? Answer:,57
What is 55 + 99? Answer:,154
What is 73 + 76? Answer:,149
What is 19 + 76? Answer:,95
What is 44 + 56? Answer:,100
What is 78 + 70? Answer:,148
What is 48 + 76? Answer:,124
What is 32 + 29? Answer:,61
What is 18 + 66? Answer:,84
What is 99 + 84? Answer:,183
What is 26 + 22? Answer:,48
What is 17 + 43? Answer:,60
What is 92 + 43? Answer:,135
What is 49 + 26? Answer:,75
What is 40 + 41? Answer:,81
What is 67 + 87? Answer:,154
What is 22 + 96? Answer:,118
What is 57 + 29? Answer:,86
What is 73 + 76? Answer:,149
What is 24 + 50? Answer:,74
What is 96 + 94? Answer:,190
What is 37 + 77? Answer:,114
What is 85 + 36? Answer:,121
What is 77 + 58? Answer:,135
What is 97 + 36? Answer:,133
What is 12 + 15? Answer:,27
What is 17 + 47? Answer:,64
What is 26 + 49? Answer:,75
What is 57 + 94? Answer:,151
What is 22 + 68? Answer:,90
What is 37 + 55? Answer:,92
What is 98 + 11? Answer:,109
What is 60 + 60? Answer:,120
What is 33 + 72? Answer:,105
What is 87 + 88? Answer:,175
What is 23 + 61? Answer:,84
What is 51 + 13? Answer:,64
What is 96 + 64? Answer:,160
What is 34 + 68? Answer:,102
What is 72 + 35? Answer:,107
What is 10 + 14? Answer:,24
What is 37 + 85? Answer:,122
What is 10 + 69? Answer:,79
What is 50 + 10? Answer:,60
What is 41 + 90? Answer:,131
What is 25 + 56? Answer:,81
What is 58 + 85? Answer:,143
What is 91 + 89? Answer:,180
What is 73 + 36? Answer:,109
What is 43 + 51? Answer:,94
What is 89 + 76? Answer:,165
What is 35 + 51? Answer:,86
What is 61 + 30? Answer:,91
What is 58 + 18? Answer:,76
What is 78 + 51? Answer:,129
What is 12 + 32? Answer:,44
What is 54 + 25? Answer:,79
What is 42 + 57? Answer:,99
What is 92 + 59? Answer:,151
What is 52 + 42? Answer:,94
What is 71 + 89? Answer:,160
What is 24 + 81? Answer:,105
What is 55 + 18? Answer:,73
What is 15 + 23? Answer:,38
What is 41 + 40? Answer:,81
What is 42 + 90? Answer:,132
What is 60 + 65? Answer:,125
What is 10 + 54? Answer:,64
What is 70 + 69? Answer:,139
What is 51 + 79? Answer:,130
What is 37 + 30? Answer:,67
What is 62 + 47? Answer:,109
What is 19 + 45? Answer:,64
What is 54 + 55? Answer:,109
What is 18 + 58? Answer:,76
What is 31 + 39? Answer:,70
What is 27 + 51? Answer:,78
What is 61 + 36? Answer:,97
What is 96 + 67? Answer:,163
What is 53 + 33? Answer:,86
What is 45 + 19? Answer:,64
What is 38 + 60? Answer:,98
What is 90 + 82? Answer:,172
What is 37 + 24? Answer:,61
What is 46 + 11? Answer:,57
What is 51 + 81? Answer:,132
What is 66 + 44? Answer:,110
What is 73 + 68? Answer:,141
What is 23 + 68? Answer:,91
What is 29 + 65? Answer:,94
What is 79 + 73? Answer:,152
What is 28 + 29? Answer:,57
What is 60 + 77? Answer:,137
What is 63 + 34? Answer:,97
What is 32 + 82? Answer:,114
What is 19 + 18? Answer:,37
What is 61 + 27? Answer:,88
What is 23 + 20? Answer:,43
What is 72 + 62? Answer:,134
What is 93 + 90? Answer:,183
What is 49 + 91? Answer:,140
What is 12 + 41? Answer:,53
What is 21 + 70? Answer:,91
What is 16 + 42? Answer:,58
What is 33 + 68? Answer:,101
What is 50 + 65? Answer:,115
What is 41 + 81? Answer:,122
What is 19 + 27? Answer:,46
What is 57 + 42? Answer:,99
What is 65 + 55? Answer:,120
What is 45 + 65? Answer:,110
What is 16 + 72? Answer:,88
What is 56 + 65? Answer:,121
What is 48 + 32? Answer:,80
What is 85 + 84? Answer:,169
What is 72 + 39? Answer:,111
What is 31 + 91? Answer:,122
What is 96 + 47? Answer:,143
What is 40 + 32? Answer:,72
What is 55 + 43? Answer:,98
What is 89 + 71? Answer:,160
What is 92 + 36? Answer:,128
What is 37 + 17? Answer:,54
What is 53 + 31? Answer:,84
What is 86 + 39? Answer:,125
What is 64 + 22? Answer:,86
What is 20 + 10? Answer:,30
What is 13 + 95? Answer:,108
What is 64 + 75? Answer:,139
What is 43 + 25? Answer:,68
What is 67 + 30? Answer:,97
What is 36 + 64? Answer:,100
What is 31 + 25? Answer:,56
What is 13 + 17? Answer:,30
What is 88 + 58? Answer:,146
What is 87 + 42? Answer:,129
What is 55 + 35? Answer:,90
What is 18 + 51? Answer:,69
What is 61 + 37? Answer:,98
What is 89 + 29? Answer:,118
What is 69 + 27? Answer:,96
What is 49 + 82? Answer:,131
What is 89 + 17? Answer:,106
What is 96 + 73? Answer:,169
What is 27 + 45? Answer:,72
What is 42 + 84? Answer:,126
What is 76 + 58? Answer:,134
What is 66 + 81? Answer:,147
What is 47 + 58? Answer:,105
What is 60 + 64? Answer:,124
What is 19 + 68? Answer:,87
What is 93 + 44? Answer:,137
What is 98 + 54? Answer:,152
What is 39 + 15? Answer:,54
What is 70 + 33? Answer:,103
What is 68 + 46? Answer:,114
What is 70 + 69? Answer:,139
What is 16 + 71? Answer:,87
What is 26 + 25? Answer:,51
What is 95 + 86? Answer:,181
What is 27 + 55? Answer:,82
What is 44 + 80? Answer:,124
What is 11 + 50? Answer:,61
What is 40 + 24? Answer:,64
What is 84 + 78? Answer:,162
What is 36 + 47? Answer:,83
What is 63 + 85? Answer:,148
What is 77 + 27? Answer:,104
What is 31 + 73? Answer:,104
What is 99 + 96? Answer:,195
What is 83 + 67? Answer:,150
What is 73 + 66? Answer:,139
What is 33 + 62? Answer:,95
What is 23 + 70? Answer:,93
What is 35 + 17? Answer:,52
What is 38 + 97? Answer:,135
What is 57 + 37? Answer:,94
What is 52 + 65? Answer:,117
What is 76 + 26? Answer:,102
What is 23 + 72? Answer:,95
What is 30 + 40? Answer:,70
What is 85 + 69? Answer:,154
What is 30 + 11? Answer:,41
What is 24 + 37? Answer:,61
What is 51 + 27? Answer:,78
What is 51 + 66? Answer:,117
What is 64 + 21? Answer:,85
What is 30 + 78? Answer:,108
What is 98 + 53? Answer:,151
What is 91 + 38? Answer:,129
What is 69 + 30? Answer:,99
What is 37 + 19? Answer:,56
What is 35 + 40? Answer:,75
What is 71 + 12? Answer:,83
What is 48 + 23? Answer:,71
What is 89 + 81? Answer:,170
What is 62 + 23? Answer:,85
What is 42 + 68? Answer:,110
What is 32 + 83? Answer:,115
What is 68 + 63? Answer:,131
What is 13 + 59? Answer:,72
What is 59 + 12? Answer:,71
What is 75 + 43? Answer:,118
What is 75 + 51? Answer:,126
What is 41 + 25? Answer:,66
What is 49 + 83? Answer:,132
What is 58 + 34? Answer:,92
What is 35 + 37? Answer:,72
What is 25 + 27? Answer:,52
What is 96 + 25? Answer:,121
What is 38 + 21? Answer:,59
What is 29 + 26? Answer:,55
What is 74 + 38? Answer:,112
What is 67 + 99? Answer:,166
What is 31 + 24? Answer:,55
What is 47 + 14? Answer:,61
What is 10 + 98? Answer:,108
What is 29 + 46? Answer:,75
What is 80 + 48? Answer:,128
What is 18 + 86? Answer:,104
What is 68 + 37? Answer:,105
What is 93 + 17? Answer:,110
What is 34 + 42? Answer:,76
What is 92 + 62? Answer:,154
What is 12 + 32? Answer:,44
What is 27 + 19? Answer:,46
What is 46 + 17? Answer:,63
What is 20 + 56? Answer:,76
What is 65 + 92? Answer:,157
What is 71 + 65? Answer:,136
What is 56 + 89? Answer:,145
What is 58 + 83? Answer:,141
What is 77 + 60? Answer:,137
What is 89 + 67? Answer:,156
What is 54 + 26? Answer:,80
What is 29 + 10? Answer:,39
What is 92 + 35? Answer:,127
What is 46 + 11? Answer:,57
What is 23 + 84? Answer:,107
What is 89 + 81? Answer:,170
What is 77 + 37? Answer:,114
What is 62 + 45? Answer:,107
What is 64 + 41? Answer:,105
What is 56 + 66? Answer:,122
What is 72 + 38? Answer:,110
What is 61 + 48? Answer:,109
What is 40 + 63? Answer:,103
What is 30 + 33? Answer:,63
What is 58 + 59? Answer:,117
What is 56 + 92? Answer:,148
What is 56 + 51? Answer:,107
What is 89 + 96? Answer:,185
What is 10 + 69? Answer:,79
What is 21 + 94? Answer:,115
What is 29 + 67? Answer:,96
What is 15 + 99? Answer:,114
What is 23 + 52? Answer:,75
What is 36 + 56? Answer:,92
What is 72 + 18? Answer:,90
What is 48 + 17? Answer:,65
What is 23 + 73? Answer:,96
What is 53 + 13? Answer:,66
What is 78 + 37? Answer:,115
What is 36 + 63? Answer:,99
What is 79 + 82? Answer:,161
What is 62 + 31? Answer:,93
What is 53 + 61? Answer:,114
What is 90 + 54? Answer:,144
What is 24 + 21? Answer:,45
What is 36 + 94? Answer:,130
What is 75 + 27? Answer:,102
What is 59 + 67? Answer:,126
What is 41 + 15? Answer:,56
What is 50 + 33? Answer:,83
What is 48 + 56? Answer:,104
What is 98 + 71? Answer:,169
What is 73 + 73? Answer:,146
What is 49 + 50? Answer:,99
What is 87 + 42? Answer:,129
What is 90 + 72? Answer:,162
What is 40 + 13? Answer:,53
What is 47 + 24? Answer:,71
What is 22 + 58? Answer:,80
What is 45 + 51? Answer:,96
What is 51 + 59? Answer:,110
What is 66 + 82? Answer:,148
What is 40 + 41? Answer:,81
What is 79 + 51? Answer:,130
What is 85 + 18? Answer:,103
What is 14 + 17? Answer:,31
What is 81 + 56? Answer:,137
What is 29 + 10? Answer:,39
What is 68 + 70? Answer:,138
What is 52 + 24? Answer:,76
What is 65 + 28? Answer:,93
What is 81 + 34? Answer:,115
What is 50 + 59? Answer:,109
What is 35 + 21? Answer:,56
What is 85 + 57? Answer:,142
What is 72 + 77? Answer:,149
What is 58 + 31? Answer:,89
What is 25 + 14? Answer:,39
What is 40 + 98? Answer:,138
What is 36 + 20? Answer:,56
What is 77 + 37? Answer:,114
What is 57 + 49? Answer:,106
What is 59 + 94? Answer:,153
What is 59 + 87? Answer:,146
What is 33 + 37? Answer:,70
What is 71 + 85? Answer:,156
What is 24 + 43? Answer:,67
What is 88 + 55? Answer:,143
What is 24 + 41? Answer:,65
What is 46 + 48? Answer:,94
What is 43 + 71? Answer:,114
What is 12 + 88? Answer:,100
What is 80 + 12? Answer:,92
What is 93 + 98? Answer:,191
What is 85 + 56? Answer:,141
What is 77 + 96? Answer:,173
What is 49 + 90? Answer:,139
What is 13 + 68? Answer:,81
What is 92 + 71? Answer:,163
What is 38 + 29? Answer:,67
What is 72 + 44? Answer:,116
What is 47 + 93? Answer:,140
What is 78 + 38? Answer:,116
What is 87 + 54? Answer:,141
What is 49 + 55? Answer:,104
What is 39 + 69? Answer:,108
What is 10 + 48? Answer:,58
What is 13 + 62? Answer:,75
What is 80 + 59? Answer:,139
What is 83 + 77? Answer:,160
What is 77 + 54? Answer:,131
What is 24 + 51? Answer:,75
What is 75 + 21? Answer:,96
What is 15 + 43? Answer:,58
What is 93 + 98? Answer:,191
What is 26 + 48? Answer:,74
What is 30 + 65? Answer:,95
What is 87 + 69? Answer:,156
What is 55 + 82? Answer:,137
What is 90 + 99? Answer:,189
What is 64 + 72? Answer:,136
What is 36 + 80? Answer:,116
What is 98 + 55? Answer:,153
What is 90 + 43? Answer:,133
What is 97 + 43? Answer:,140
What is 94 + 81? Answer:,175
What is 13 + 68? Answer:,81
What is 20 + 35? Answer:,55
What is 97 + 27? Answer:,124
What is 76 + 14? Answer:,90
What is 62 + 78? Answer:,140
What is 42 + 10? Answer:,52
What is 74 + 11? Answer:,85
What is 59 + 38? Answer:,97
What is 33 + 95? Answer:,128
What is 21 + 38? Answer:,59
What is 57 + 77? Answer:,134
What is 91 + 33? Answer:,124
What is 34 + 12? Answer:,46
What is 80 + 75? Answer:,155
What is 42 + 18? Answer:,60
What is 24 + 43? Answer:,67
What is 45 + 14? Answer:,59
What is 58 + 30? Answer:,88
What is 15 + 68? Answer:,83
What is 98 + 62? Answer:,160
What is 11 + 49? Answer:,60
What is 32 + 77? Answer:,109
What is 64 + 92? Answer:,156
What is 64 + 93? Answer:,157
What is 63 + 92? Answer:,155
What is 26 + 93? Answer:,119
What is 25 + 76? Answer:,101
What is 14 + 24? Answer:,38
What is 79 + 92? Answer:,171
What is 14 + 99? Answer:,113
What is 68 + 15? Answer:,83
What is 36 + 42? Answer:,78
What is 67 + 39? Answer:,106
What is 13 + 57? Answer:,70
What is 96 + 92? Answer:,188
What is 40 + 63? Answer:,103
What is 29 + 76? Answer:,105
What is 33 + 88? Answer:,121
What is 95 + 59? Answer:,154
What is 47 + 93? Answer:,140
What is 52 + 13? Answer:,65
What is 81 + 55? Answer:,136
What is 34 + 50? Answer:,84
What is 50 + 99? Answer:,149
What is 33 + 89? Answer:,122
What is 62 + 50? Answer:,112
What is 31 + 14? Answer:,45
What is 44 + 69? Answer:,113
What is 77 + 85? Answer:,162
What is 61 + 44? Answer:,105
What is 26 + 62? Answer:,88
What is 80 + 24? Answer:,104
What is 90 + 68? Answer:,158
What is 65 + 88? Answer:,153
What is 79 + 60? Answer:,139
What is 27 + 28? Answer:,55
What is 80 + 18? Answer:,98
What is 89 + 29? Answer:,118
What is 63 + 81? Answer:,144
What is 61 + 74? Answer:,135
What is 65 + 37? Answer:,102
What is 35 + 87? Answer:,122
What is 84 + 37? Answer:,121
What is 61 + 14? Answer:,75
What is 33 + 93? Answer:,126
What is 96 + 79? Answer:,175
What is 74 + 50? Answer:,124
What is 40 + 43? Answer:,83
What is 60 + 92? Answer:,152
What is 63 + 56? Answer:,119
What is 75 + 72? Answer:,147
What is 32 + 87? Answer:,119
What is 96 + 76? Answer:,172
What is 79 + 73? Answer:,152
What is 89 + 33? Answer:,122
What is 95 + 70? Answer:,165
What is 39 + 95? Answer:,134
What is 96 + 19? Answer:,115
What is 37 + 17? Answer:,54
What is 69 + 86? Answer:,155
What is 16 + 75? Answer:,91
What is 48 + 59? Answer:,107
What is 55 + 37? Answer:,92
What is 59 + 14? Answer:,73
What is 99 + 27? Answer:,126
What is 81 + 20? Answer:,101
What is 85 + 67? Answer:,152
What is 66 + 58? Answer:,124
What is 12 + 39? Answer:,51
What is 57 + 81? Answer:,138
What is 62 + 32? Answer:,94
What is 29 + 44? Answer:,73
What is 90 + 78? Answer:,168
What is 89 + 50? Answer:,139
What is 43 + 11? Answer:,54
What is 94 + 54? Answer:,148
What is 56 + 57? Answer:,113
What is 80 + 96? Answer:,176
What is 99 + 80? Answer:,179
What is 23 + 20? Answer:,43
What is 41 + 67? Answer:,108
What is 96 + 12? Answer:,108
What is 16 + 51? Answer:,67
What is 44 + 11? Answer:,55
What is 76 + 45? Answer:,121
What is 47 + 42? Answer:,89
What is 30 + 10? Answer:,40
What is 27 + 41? Answer:,68
What is 23 + 97? Answer:,120
What is 31 + 25? Answer:,56
What is 70 + 64? Answer:,134
What is 30 + 51? Answer:,81
What is 44 + 19? Answer:,63
What is 49 + 33? Answer:,82
What is 90 + 78? Answer:,168
What is 86 + 38? Answer:,124
What is 98 + 53? Answer:,151
What is 13 + 27? Answer:,40
What is 63 + 20? Answer:,83
What is 85 + 42? Answer:,127
What is 32 + 14? Answer:,46
What is 96 + 56? Answer:,152
What is 57 + 41? Answer:,98
What is 56 + 83? Answer:,139
What is 19 + 12? Answer:,31
What is 88 + 96? Answer:,184
What is 55 + 73? Answer:,128
What is 91 + 83? Answer:,174
